Maker/Brand,Maker_Brand,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Acura,Acura ILX,20430,17854,18531,14597,11757,11273,14685,13414,13900,6296
Acura,Acura Integra,0,0,0,0,0,0,0,0,0,13027
Acura,Acura TL,24318,10616,88,0,0,0,0,0,0,0
Acura,Acura TLX,0,19127,47080,37156,34846,30468,26548,21785,26100,11508
Acura,Acura TSX,17484,6287,35,4,0,0,0,0,0,0
Acura,Acura RL,0,0,0,0,0,0,0,0,0,0
Acura,Acura RLX,0,3413,2195,1478,1237,1931,1019,1055,214,3
Acura,Acura RLX/RL,5053,0,0,0,0,0,0,0,0,0
Acura,Acura NSX,0,0,0,269,581,170,238,128,124,298
Acura,Acura RDX,44750,44865,51026,52361,51295,63580,62876,52785,57013,24749
Acura,Acura MDX,53040,65603,58208,55495,54886,51512,52019,47816,60057,46425
Acura,Acura ZDX,361,78,2,0,0,0,0,0,0,0
Alfa Romeo,Alfa Romeo 4C,0,91,663,480,407,238,144,99,77,1
Alfa Romeo,Alfa Romeo GIULIA,0,0,0,36,8903,11519,8704,8216,7634,5092
Alfa Romeo,Alfa Romeo Stelvio,0,0,0,0,2721,12043,9444,10271,10539,7752
Aston Martin,Aston Martin Unclassified,0,0,1020,1032,684,984,1164,1632,1350,1845
Audi,Audi A3,857,22250,35984,31538,23610,18305,10418,9937,2390,9788
Audi,Audi A4,36744,33993,29013,34687,34434,34566,26435,18341,16263,15239
Audi,Audi A4 Allroad quattro,5386,4686,2818,2300,3240,N/A,0,0,0,0
Audi,Audi A5,18664,16620,12934,8354,21301,25972,23023,18828,17408,18349
Audi,Audi TT,2053,1158,1167,3044,2294,1289,1324,830,986,516
Audi,Audi A6,22428,23941,22850,18686,16304,10561,17807,10535,9544,6003
Audi,Audi A7,8483,8133,7721,6558,4810,3852,4955,2859,3081,2237
Audi,Audi e0tron GT,0,0,0,0,0,0,0,0,1226,2275
Audi,Audi A8,6300,5904,4990,4149,3127,1599,2963,2376,2069,1594
Audi,Audi R8,813,735,495,736,772,927,574,581,649,314
Audi,Audi Q3,0,3654,13229,20048,20633,16828,14822,27251,34462,25066
Audi,Audi Q4 e0tron,0,0,0,0,0,0,0,0,64,3505
Audi,Audi Q5,40355,42420,52006,49550,57640,69978,67516,50435,60301,62912
Audi,Audi e0tron,0,0,0,0,0,0,5369,7202,9695,10397
Audi,Audi Q8,0,0,0,0,0,2029,14256,12074,12538,9372
Bentley,Bentley Unclassified,0,0,2686,2581,2405,2395,1882,1553,3350,3837
BMW,BMW i3,0,6092,11024,7625,6276,6117,4854,1703,1476,9
BMW,BMW 1 Series,7220,0,0,0,0,0,0,0,0,0
BMW,BMW 1/2 Series,0,7345,13020,0,0,0,0,0,0,0
BMW,BMW 2 Series,0,0,0,15519,11737,9208,8015,14618,15683,11548
BMW,BMW 3 Series,0,0,94527,70458,59449,44578,47827,41249,49461,30400
BMW,BMW 3/4 Series,119521,142232,0,0,0,0,0,0,0,0
BMW,BMW 4 Series,0,0,46082,35763,39634,31379,18621,9495,22937,28491
BMW,BMW Z4,2480,2151,1829,1187,502,4,2941,2371,2367,1567
BMW,BMW 6 Series,9762,8647,8146,3947,3355,3762,1139,199,55,0
BMW,BMW 5 Series,56863,52704,44162,32408,40658,43937,38709,26785,24523,20859
BMW,BMW i4,0,0,0,0,0,0,0,0,0,8463
BMW,BMW 7 Series,10932,9744,9292,12918,9276,8271,8823,6443,7706,5692
BMW,BMW 8 Series,0,0,0,0,0,223,4410,7737,7760,7311
BMW,BMW i7,0,0,0,0,0,0,0,0,0,284
BMW,BMW i8,0,555,2265,1594,488,772,1102,188,18,5
BMW,BMW X1,26512,22808,14420,27812,30826,29060,17815,14405,18253,7103
BMW,BMW X2,0,0,0,0,0,16154,11293,7387,6565,2641
BMW,BMW iX,0,0,0,0,0,0,0,0,0,5665
BMW,BMW X3,30623,33824,31924,44196,40691,61351,70110,59941,75858,65799
BMW,BMW X4,0,2709,6429,4989,5198,4323,8758,7677,10620,9797
BMW,BMW X7,0,0,0,0,0,0,21574,20579,23046,30706
BMW,BMW X5,39818,47031,54997,47641,50815,45013,54595,50642,60725,82372
BMW,BMW X6,5549,3896,7906,7117,6780,6862,4240,7313,9591,13676
Buick,Buick Cascada,0,0,0,7153,5595,4136,2535,12,7,0
Buick,Buick Verano,45527,43743,31886,30277,4277,210,3,0,0,0
Buick,Buick LaCrosse,48798,51468,42035,27582,20161,15527,7241,230,18,0
Buick,Buick Regal,18685,22560,19504,19833,11559,14118,10363,2484,43,49
Buick,Buick Lucerne,9,0,0,0,0,0,0,0,0,0
Buick,Buick Encore,31956,48892,67549,78565,88035,93073,102402,41752,20072,13718
Buick,Buick Encore GX,0,0,0,0,0,0,0,44841,71247,33348
Buick,Buick Envision,0,0,0,14193,41040,30152,33229,34942,46450,25871
Buick,Buick Enclave,60534,62300,62081,52028,48564,49647,51156,38480,41962,30533
Cadillac,Cadillac ATS,38319,29890,26873,21505,13100,10859,1134,116,17,0
Cadillac,Cadillac ELR,6,1310,1024,534,17,2,0,0,0,0
Cadillac,Cadillac CT4,0,0,0,0,0,0,0,4889,7253,9271
Cadillac,Cadillac CT5,0,0,0,0,0,0,43,14711,9446,15896
Cadillac,Cadillac CT6,0,0,0,9169,10542,9668,7951,3117,174,23
Cadillac,Cadillac CTS,32343,31115,19485,15911,10344,11219,6965,611,162,0
Cadillac,Cadillac DTS,19,0,0,0,0,0,0,0,0,0
Cadillac,Cadillac STS,7,0,0,0,0,0,0,0,0,0
Cadillac,Cadillac XTS,32559,24335,23112,22171,16275,17727,11304,1199,132,0
Cadillac,Cadillac XT4,0,0,0,0,0,7785,31987,22473,11579,21774
Cadillac,Cadillac Lyriq,0,0,0,0,0,0,0,0,0,122
Cadillac,Cadillac SRX,56776,53578,68850,22139,156,5,0,0,0,0
Cadillac,Cadillac XT5,0,0,0,39485,68312,60565,49879,35223,28380,27340
Cadillac,Cadillac XT6,0,0,0,0,0,0,11559,22609,20662,20053
Cadillac,Cadillac Escalade,22514,30522,35921,39092,37694,36872,35424,24547,40505,40247
Chevrolet,Chevrolet Spark,34130,39159,32853,35511,22589,23602,31281,33478,24459,13710
Chevrolet,Chevrolet Aveo,2,0,0,0,0,0,0,0,0,0
Chevrolet,Chevrolet Bolt,0,0,0,579,23297,18019,16418,20754,22073,11029
Chevrolet,Chevrolet Sonic,85646,93518,64775,55255,30290,20613,13971,13007,1581,6
Chevrolet,Chevrolet Cruze,248224,273060,226602,188876,184751,142617,47975,784,57,0
Chevrolet,Chevrolet Volt,23094,18805,15393,24739,20349,18306,4910,71,16,0
Chevrolet,Chevrolet Camaro,80567,86297,77502,72705,67940,50963,48265,29775,21893,24652
Chevrolet,Chevrolet Caprice,3899,3727,1845,1021,693,75,7,0,0,0
Chevrolet,Chevrolet SS,418,2479,2895,3013,4055,55,2,0,0,0
Chevrolet,Chevrolet Impala,156797,140280,116825,97006,75877,56556,44978,9942,750,10
Chevrolet,Chevrolet Malibu,200594,188519,194854,227881,185857,144542,131917,102651,39376,115467
Chevrolet,Chevrolet Corvette,17291,34839,33329,29995,25079,18791,17988,21626,33041,34510
Chevrolet,Chevrolet Avalanche,16526,92,0,0,0,0,0,0,0,0
Chevrolet,Chevrolet Colorado,3412,8003,84430,108725,112996,134842,122304,96238,73008,89197
Chevrolet,Chevrolet Silverado,480414,529755,600544,574876,585864,585581,570639,586675,519774,513354
Chevrolet,Chevrolet Trax (Tracker),0,739,63030,79016,79289,89916,116816,106299,42590,26597
Chevrolet,Chevrolet Bolt EUV,0,0,0,0,0,0,0,0,2755,27091
Chevrolet,Chevrolet Captiva,47600,35368,55,0,0,0,0,0,0,0
Chevrolet,Chevrolet Equinox,238192,242242,277589,242195,290458,332618,346048,270994,165323,212072
Chevrolet,Chevrolet HHR,3,0,0,0,0,0,0,0,0,0
Chevrolet,Chevrolet SUV0C Total,285795,277610,277644,242195,290458,332618,346048,305284,258239,300051
Chevrolet,Chevrolet Trailblazer,0,0,0,0,0,0,0,34290,90161,60888
Chevrolet,Chevrolet Blazer,0,0,0,0,0,0,58115,94601,70325,67246
Chevrolet,Chevrolet Traverse,96467,103943,119945,116701,123506,146534,147122,125546,116250,96965
Chevrolet,Chevrolet C/K Suburban,51260,55009,50866,60082,56516,60633,51928,37636,48214,50951
Chevrolet,Chevrolet Tahoe,83502,97726,88342,103306,98961,104153,101189,88238,106030,105756
Chevrolet,Chevrolet Express,79087,79352,63382,68007,69164,81239,77457,55131,44355,52888
Chevrolet,Chevrolet City Express,0,530,10283,7019,8348,3531,139,0,0,0
Chrysler,Chrysler 200 Series,122480,117363,177889,57294,18457,1043,48,9,15,2
Chrysler,Chrysler 300 series,57724,53382,53109,53241,51237,46593,29213,16653,16662,14087
Chrysler,Chrysler Pacifica,0,0,0,62366,118274,118322,97705,93802,98323,98624
Chrysler,Chrysler Town & Country,122288,138040,93848,59071,577,6,5,0,4,0
Chrysler,Chrysler N/A (Class 5),10901,14401,15812,15737,17203,15934,16467,15795,24930,20139
Dodge,Dodge Caliber,45,0,0,0,0,0,0,0,0,0
Dodge,Dodge Dart,83388,83858,87392,43402,10082,389,15,7,10,4
Dodge,Dodge Avenger,93842,51705,1268,45,14,4,1,0,0,2
Dodge,Dodge Challenger,51462,51611,66365,64433,64537,66716,60997,52955,54314,55060
Dodge,Dodge Charger,98336,94099,94725,95437,88351,80226,96935,77425,78389,80074
Dodge,Dodge Viper,591,760,676,630,585,19,5,4,4,1
Dodge,Dodge Caravan,124019,134152,97141,127678,125196,151927,122648,38767,3037,27
Dodge,Dodge Journey,83933,93572,105400,106759,89470,94096,74686,40342,14035,194
Dodge,Dodge Durango,60727,64398,64186,68474,68761,65947,67599,57828,65935,55433
Ferrari,Ferrari 296,0,0,0,0,0,0,0,0,0,41
Ferrari,Ferrari SF90 Spider,0,0,0,0,0,0,0,0,0,166
Ferrari,Ferrari SF90 Stradale,0,0,0,0,0,0,0,8,378,254
Ferrari,Ferrari Unclassified,0,0,2258,2398,2517,2488,2587,2020,0,0
Fiat,Fiat 500,35834,33708,25084,15437,12685,5370,3267,672,51,8
Fiat,Fiat 124 Spider,0,0,0,2475,4478,3515,2644,1729,952,24
Fiat,Fiat 500L,7402,12413,7863,3118,1664,1413,771,474,0,0
Fiat,Fiat 500X,0,0,9463,11712,7665,5223,2518,1428,1371,883
Ford,Ford Fiesta,71073,63192,64458,48807,46249,51730,60148,3354,0,0
Ford,Ford Focus,234570,219634,202478,168789,158385,113345,12480,0,0,0
Ford,Ford Crown Victoria,10897,10234,9765,9472,7994,N/A,N/A,N/A,N/A,0
Ford,Ford Fusion,295280,306860,300170,265840,209623,173600,166045,110665,11781,0
Ford,Ford Mustang,77186,82635,122349,105932,81866,75842,72489,61090,52414,47566
Ford,Ford Taurus,69063,52395,39051,34626,33242,36088,13351,0,0,0
Ford,Ford GT,0,0,0,0,89,126,229,175,143,99
Ford,Ford C0MAX,35210,27595,21768,19834,18390,6683,38,0,0,0
Ford,Ford F0Series,763402,753851,780354,820799,896764,909330,896526,787422,726004,653957
Ford,Ford Maverick,0,0,0,0,0,0,0,0,13258,74370
Ford,Ford Ranger,0,0,0,0,0,0,89571,101486,94755,57005
Ford,Ford EcoSport,0,0,0,0,0,54348,64708,60545,40659,29193
Ford,Ford Bronco Sport,0,0,0,0,0,0,0,5120,108169,99547
Ford,Ford Escape,295993,306212,306492,307069,308296,272228,241388,178496,145415,137370
Ford,Ford Bronco,0,0,0,0,0,0,0,0,35023,117057
Ford,Ford Edge,129109,108864,124120,134588,142603,134122,138515,108886,85225,85465
Ford,Ford Explorer,192397,209994,249251,248507,271131,261571,187061,226217,219871,207673
Ford,Ford Flex,25953,23822,19570,22668,22389,20308,24484,4848,0,0
Ford,Ford Mustang Mach0E,0,0,0,0,0,0,0,3,27140,39458
Ford,Ford Expedition,38350,44632,41443,59835,51883,54661,86422,77838,81988,62007
Ford,Ford E0Series,125356,103263,50788,54245,53304,47936,45063,37001,37122,32150
Ford,Ford Transit,0,20448,117577,143244,127360,137794,153868,131556,99745,99382
Ford,Ford Transit Connect,39703,43210,52221,43232,34473,31923,41598,34596,26112,25140
GMC,GMC Canyon,929,3070,30077,37449,32106,33492,32825,25190,24125,27819
GMC,GMC Sierra,184389,211833,224139,221680,217943,219554,232323,253016,248924,241522
GMC,GMC Hummer Pickup,0,0,0,0,0,0,0,0,1,854
GMC,GMC Pickup Truck Total,185318,214903,254216,259129,250049,253046,265148,278206,273050,270195
GMC,GMC Terrain,99525,105016,112030,87925,85441,114314,101470,86020,47488,86567
GMC,GMC Acadia,89793,83972,96393,88466,111276,88621,99429,72537,59913,53014
GMC,GMC Yukon,28302,41569,42732,53447,49183,46190,42510,40965,51365,48220
GMC,GMC Yukon XL,31258,29752,31334,37054,35059,34594,32163,22475,32877,34084
GMC,GMC Savana,16705,26641,21992,20607,29679,19684,24226,15108,17744,25569
Honda,Honda Fit (Jazz),53513,59340,52724,56630,49454,35300,35414,32488,8695,0
Honda,Honda Civic,336180,325981,335384,366927,377286,325760,325650,261225,263787,133932
Honda,Honda CR0Z,4550,3562,3073,2338,705,38,2,1,0,0
Honda,Honda Insight,4802,3965,1458,67,3,12510,23686,15932,19431,7628
Honda,Honda Accord,366678,388374,355557,345225,322655,291071,267567,199458,202676,154612
Honda,Honda Clarity,0,0,0,0,0,0,0,0,0,0
Honda,Honda Clarity Electric,0,0,0,0,1121,948,576,45,1,0
Honda,Honda Clarity Fuel Cell,0,0,0,8,432,624,320,230,282,205
Honda,Honda Clarity Plug In,0,0,0,0,903,18602,10758,3940,2314,3
Honda,Honda FCX Clarity,10,2,2,0,0,0,0,0,0,0
Honda,Honda S2000,2,0,0,0,0,0,0,0,0,0
Honda,Honda Odyssey,128987,122738,127736,120846,100307,106327,99113,83409,76125,47615
Honda,Honda Ridgeline,17723,13389,520,23667,34749,30592,33334,32168,41355,42762
Honda,Honda HR0V,0,0,41969,82041,94034,85494,99104,84027,137090,115416
Honda,Honda Crosstour,16847,11802,9104,726,5,0,0,0,0,0
Honda,Honda CR0V,303904,335019,345647,357335,377895,379013,384168,333502,361271,238155
Honda,Honda Honda Pilot,126678,108857,136212,120772,127279,159615,135008,123813,143062,99567
Honda,Honda Passport,0,0,0,0,0,0,36085,39567,53133,41306
Hyundai,Hyundai Accent (Verna),60458,63309,61486,79766,58955,29090,25628,15975,19614,17823
Hyundai,Hyundai Avante (Elantra),247912,222023,241706,208319,198210,200415,175094,105475,124422,117177
Hyundai,Hyundai Ioniq,0,0,0,0,11197,15076,19574,13570,19885,3672
Hyundai,Hyundai Veloster,30711,27598,24245,30053,12658,10871,12849,7591,2112,1920
Hyundai,Hyundai Azera,11221,7232,5539,4942,3060,628,0,0,0,0
Hyundai,Hyundai Sonata,203648,216936,213303,199416,131803,105118,87466,76997,93142,55131
Hyundai,Hyundai Hyundai Genesis,32330,29992,31374,23230,1152,1,0,0,0,0
Hyundai,Hyundai Equus,3578,3415,2332,1361,20,0,0,0,0,0
Hyundai,Hyundai Santa Cruz,0,0,0,0,0,0,0,0,10042,36480
Hyundai,Hyundai Kona,0,0,0,0,0,47090,73326,76253,90069,63994
Hyundai,Hyundai Nexo,0,0,0,0,0,8,267,208,430,408
Hyundai,Hyundai Tucson (ix35),41906,47306,63591,89713,114735,142299,137381,123657,150949,175307
Hyundai,Hyundai Venue,0,0,0,0,0,0,1077,19125,28653,27094
Hyundai,Hyundai IONIQ 5,0,0,0,0,0,0,0,0,153,22982
Hyundai,Hyundai Palisade,0,0,0,0,0,0,28736,81905,86539,82688
Hyundai,Hyundai Santa Fe,88844,107906,118134,131257,133171,117038,127373,101513,112071,119589
Hyundai,Hyundai Veracruz (ix55),175,1,0,0,0,0,0,0,0,0
Infiniti,Infiniti G,30256,0,0,0,0,0,0,0,0,0
Infiniti,Infiniti Q40,0,15590,8605,59,0,0,0,0,0,0
Infiniti,Infiniti Q50,17816,36899,43874,44007,40739,34763,25987,16533,13896,4781
Infiniti,Infiniti Q60 (G Coupe),9806,7740,3949,3970,10751,9017,5043,2792,2728,1847
Infiniti,Infiniti M,5283,0,0,0,0,0,0,0,0,0
Infiniti,Infiniti Q70 (M),0,5034,8449,5872,5772,4479,2552,139,0,1
Infiniti,Infiniti QX30,0,0,0,2259,14093,8101,3229,148,1,0
Infiniti,Infiniti QX50 (EX),2164,2727,5468,16973,16857,25389,18616,20885,19195,11105
Infiniti,Infiniti QX55,0,0,0,0,0,0,0,0,4332,5106
Infiniti,Infiniti QX60 (JX),31602,31192,41770,42120,40444,47370,43162,22880,5829,16573
Infiniti,Infiniti QX70 (FX),6380,5213,5737,6261,6878,954,6,0,0,0
Infiniti,Infiniti QX80 (QX56),13148,12935,15646,16772,17881,19207,19113,16125,12572,7206
Jaguar,Jaguar XE,0,0,0,6656,9278,4704,3551,1516,105,0
Jaguar,Jaguar F0Type,2250,4112,4629,4069,4108,2268,2279,1595,1753,1290
Jaguar,Jaguar XF,7922,5880,5933,6665,4541,2308,1187,606,898,827
Jaguar,Jaguar XJ Series,5434,4329,3611,3834,2721,1579,1167,908,15,0
Jaguar,Jaguar E0Pace,0,0,0,0,0,4479,4782,3412,2363,726
Jaguar,Jaguar F0Pace,0,0,0,10016,18946,14752,15491,8281,7664,6632
Jaguar,Jaguar I0Pace,0,0,0,0,0,393,2594,1658,1020,306
Jeep,Jeep Jeep Gladiator,0,0,0,0,0,0,40037,77542,89712,77855
Jeep,Jeep Renegade,0,0,60946,106606,103434,97062,76885,62847,47138,27551
Jeep,Jeep Cherokee,25786,178508,220260,199736,169882,239437,191397,135855,89126,40322
Jeep,Jeep Cherokee Liberty,6101,0,0,0,0,0,0,0,0,0
Jeep,Jeep Compass,52993,61264,66698,94061,83253,171167,143934,107969,75642,86175
Jeep,Jeep Patriot,75797,93462,118464,121926,40735,621,27,3,0,0
Jeep,Jeep Wrangler,155502,175328,202702,191774,190522,240032,228042,201311,0,0
